query_id,user_id,component_id,component_event_count,component_personalization_mass,component_ppr_mass
tokyo_24765_temporal_spatial,24765,2,2,0.0388728382339843,0.0388728382415346
tokyo_24765_temporal_spatial,24765,3,6,0.118142958174185,0.118142958182915
tokyo_24765_temporal_spatial,24765,4,2,0.0389606722958507,0.0389606723033192
tokyo_24765_temporal_spatial,24765,5,2,0.0401971605183285,0.0401971605246454
tokyo_24765_temporal_spatial,24765,6,2,0.0381716341613311,0.0381716341695344
tokyo_254908_relational_after,254908,1,21,0.643252390124786,0.64325239009546
tokyo_254908_relational_after,254908,2,7,0.207419471177803,0.207419471203763
tokyo_254908_relational_after,254908,3,5,0.149328138697411,0.149328138700776
tokyo_254908_semantic,254908,1,21,0.635089416017283,0.63508941599556
tokyo_254908_semantic,254908,2,7,0.213841928678556,0.213841928698534
tokyo_254908_semantic,254908,3,5,0.151068655304161,0.151068655305905
tokyo_254908_temporal_spatial,254908,1,21,0.642603142052067,0.642603142023346
tokyo_254908_temporal_spatial,254908,2,7,0.206896771327088,0.206896771353535
tokyo_254908_temporal_spatial,254908,3,5,0.150500086620845,0.150500086623118
tokyo_259163_relational_after,259163,1,25,0.895495024256575,0.895495024235737
tokyo_259163_relational_after,259163,2,3,0.104504975743425,0.104504975764263
tokyo_259163_semantic,259163,1,25,0.898966758342007,0.898966758319552
tokyo_259163_semantic,259163,2,3,0.101033241657993,0.101033241680448
tokyo_259163_temporal_spatial,259163,1,25,0.887621703039857,0.887621703022686
tokyo_259163_temporal_spatial,259163,2,3,0.112378296960143,0.112378296977314
tokyo_263152_relational_after,263152,1,25,0.921021762192145,0.921021762173879
tokyo_263152_relational_after,263152,2,2,0.0789782378078549,0.0789782378261212
tokyo_263152_semantic,263152,1,25,0.925115529129436,0.925115529118396
tokyo_263152_semantic,263152,2,2,0.0748844708705644,0.0748844708816038
tokyo_263152_temporal_spatial,263152,1,25,0.923954201477838,0.92395420146734
tokyo_263152_temporal_spatial,263152,2,2,0.0760457985221617,0.0760457985326604
tokyo_264627_relational_after,264627,1,57,0.966352441146707,0.966352441140791
tokyo_264627_relational_after,264627,2,2,0.033647558853293,0.0336475588592092
tokyo_264627_semantic,264627,1,57,0.965812376344666,0.965812376339252
tokyo_264627_semantic,264627,2,2,0.0341876236553345,0.0341876236607477
tokyo_264627_temporal_spatial,264627,1,57,0.965472529330847,0.96547252932575
